Department,District,Business,Adress,Acceptance,Category,Sub-category,Contact,Instagram,Facebook,X,Website
La Paz,San Luis Talpa,CHALET LOS HERMANOS ESPINOZA,"13.4582847, -88.8390743",No,,,7169 1440,,,,
San Vicente,Tecoluca,Merenderos y antojitos Lupita,"13.4484877, -88.8195245",No,Food & Beverage,Restaurants,-,,,,
La Paz,San Luis Talpa,Ferretería El Guayo,"13.4527013, -88.8189466",No,Retail,Retailers,-,,,,
San Vicente,Tecoluca,Peluqueria Jordan,"13.4500137, -88.8168186",No,,,7243 0475,,,,
San Vicente,Tecoluca,"Venta de sillas decorativas, hamacas y mas..ANDY","13.4501406, -88.8165581",No,,,7243 0475,,,,
San Vicente,Tecoluca,Ferretería La Familia,"13.4497678, -88.8160712",No,Retail,Retailers,7297 5656,,,,
San Vicente,Tecoluca,Cafetín Martinez,"13.4484375, -88.8139375",No,Food & Beverage,Restaurants,6494 7646,,,,
San Vicente,Tecoluca,Agroferretería La Carreta,"13.4426776, -88.7912406",No,Retail,Retailers,7574 8851,,,,
San Vicente,Tecoluca,Papeleria Camila,"13.4411017, -88.797203",No,,,-,,,,
San Vicente,Tecoluca,Taller de moto El Playon,"13.4434322, -88.7555313",No,Other,Other vendors,7024 7395,,,,
San Vicente,Tecoluca,Agroferreteria Laritza,"13.4436751, -88.7536846",No,Retail,Retailers,7089 6899,,,,
San Vicente,Tecoluca,Llanteria 24/7 El Plato,"13.4445855, -88.7515328",No,,,7594 1414,,,,
San Vicente,Tecoluca,Taller de bicicletas,"13.4470708, -88.7414609",No,Other,Other vendors,-,,,,
San Vicente,Tecoluca,Ferreteria La Estrella San Nicolas Lempa,"13.4392375, -88.7072656",No,Retail,Retailers,2357 5903,,,,
San Vicente,Tecoluca,Texaco,"13.4389414, -88.7077489",No,,,-,,,,
Usulutan,San Agustín,Tubon galingagua,"13.4582458, -88.5769292",No,,,-,,,,
Usulutan,San Agustín,"Taller ""El Chele""","13.4420654, -88.5843904",No,Other,Other vendors,-,,,,
Usulutan,San Agustín,Taller Racing Motors,"13.438563, -88.5869641",No,Other,Other vendors,-,,,,
Usulutan,San Agustín,Pizza Siciliana Usulután,"13.4470634, -88.556531",No,Food & Beverage,Restaurants,-,,,,
Usulutan,San Agustín,Sala de Belleza Cristy variedades Fashion salon,"13.4470634, -88.556531",No,Other,Other vendors,-,,,,
Usulutan,San Agustín,El rinconcito,"13.4470634, -88.556531",No,,,-,,,,
Usulutan,San Agustín,Kefanis distribuidora,"13.4470634, -88.556531",No,Retail,Retailers,6031 1012,,,,
Usulutan,San Agustín,Jeffry Crsadia de San Juan,"13.4470634, -88.556531",No,,,-,,,,
